X:	U:	P:	RO:	E:	Q:
1.45637	1.00296	0.989411	0.730107	2.03274	2.82866e-05
1.45686	1.00293	0.9894	0.73008	2.03279	0
1.45735	1.00295	0.989406	0.730034	2.03293	1.5629e-05
1.45784	1.00293	0.989399	0.729958	2.03313	0
1.45832	1.00294	0.989397	0.729871	2.03337	3.58903e-06
1.45881	1.00294	0.989389	0.72981	2.03352	0
1.4593	1.00294	0.989366	0.729751	2.03364	0
1.45979	1.00296	0.989323	0.729712	2.03366	0
1.46028	1.003	0.989287	0.729704	2.0336	0
1.46077	1.00302	0.98926	0.729739	2.03345	0
1.46126	1.00304	0.989227	0.729807	2.0332	0
1.46175	1.00307	0.9892	0.729912	2.03285	0
1.46224	1.00308	0.989194	0.730001	2.03259	0
1.46273	1.00308	0.989184	0.730018	2.03252	0
1.46322	1.00309	0.989181	0.730011	2.03253	5.82109e-06
1.46371	1.00308	0.989174	0.730004	2.03254	0
1.4642	1.00309	0.989177	0.729987	2.03259	1.52195e-05
1.46469	1.00307	0.989167	0.729939	2.03271	0
1.46518	1.00308	0.989174	0.729877	2.03289	2.1553e-05
1.46566	1.00306	0.989165	0.729776	2.03315	0
1.46615	1.00307	0.989178	0.729726	2.03332	3.26341e-05
1.46664	1.00304	0.989165	0.729664	2.03347	0
1.46713	1.00306	0.989183	0.729648	2.03355	3.98402e-05
1.46762	1.00302	0.989169	0.729641	2.03354	0
1.46811	1.00305	0.989192	0.729692	2.03345	5.03999e-05
1.4686	1.003	0.989176	0.729757	2.03323	0
1.46909	1.00303	0.989204	0.729886	2.03293	5.75755e-05
1.46958	1.00297	0.989187	0.729987	2.03261	0
1.47007	1.003	0.989225	0.730034	2.03256	7.473e-05
1.47056	1.00294	0.989203	0.730015	2.03257	0
1.47105	1.00298	0.989248	0.730039	2.03259	8.66388e-05
1.47154	1.0029	0.989224	0.730007	2.03263	0
1.47203	1.00295	0.989279	0.729996	2.03278	0.000105518
1.47252	1.00285	0.98925	0.729922	2.03292	0
1.473	1.00291	0.989309	0.729853	2.03324	0.000113161
1.47349	1.0028	0.989277	0.729778	2.03338	0
1.47398	1.00287	0.989333	0.729742	2.03359	0.000110295
1.47447	1.00276	0.989298	0.729698	2.03365	0
1.47496	1.00283	0.989348	0.729712	2.03371	0.000109186
1.47545	1.00273	0.989307	0.729726	2.03358	0
1.47594	1.00279	0.989325	0.729798	2.03342	6.83171e-05
1.47643	1.00273	0.989281	0.729889	2.03308	0
1.47692	1.00278	0.9893	0.730014	2.03277	0.000101234
1.47741	1.00269	0.989224	0.730025	2.03258	0
1.4779	1.00277	0.989173	0.729996	2.03256	2.99838e-05
1.47839	1.00274	0.989076	0.729958	2.03246	0
1.47888	1.0028	0.989087	0.729941	2.03253	0.000245344
1.47937	1.00258	0.988866	0.729816	2.03243	0
1.47986	1.0028	0.988791	0.729724	2.03253	0.000258485
1.48034	1.00257	0.988454	0.72949	2.03249	0
1.48083	1.00287	0.988595	0.729481	2.0328	0.000953294
1.48132	1.002	0.987872	0.729102	2.03237	0
1.48181	1.00281	0.987965	0.729107	2.03255	0.00139034
1.4823	1.00154	0.986782	0.72857	2.03162	0
1.48279	1.00279	0.98737	0.728853	2.03204	0.00322971
1.48328	0.999844	0.985073	0.72789	2.02999	0
1.48377	1.0025	0.985706	0.728267	2.03024	0.00498153
1.48426	0.997954	0.981854	0.72667	2.02675	0
1.48476	1.00219	0.983601	0.727498	2.02805	0.010025
1.48525	0.993044	0.976469	0.724322	2.02217	0
1.48574	1.00117	0.978619	0.725248	2.02404	0.0161621
1.48623	0.986409	0.966554	0.719818	2.01416	0
1.48673	0.999571	0.971119	0.721737	2.0183	0.0305244
1.48722	0.971677	0.949547	0.711922	2.00067	0
1.48773	0.995285	0.955028	0.71403	2.00628	0.0504766
1.48823	0.948908	0.918945	0.697327	1.97672	0
1.48874	0.985934	0.927156	0.700233	1.9861	0.091479
1.48925	0.901269	0.865635	0.671134	1.93471	0
