X:	U:	P:	RO:	E:	Q:
-0.694002	-0.696157	1	1.9663	1.27143	9.16423e-09
-0.691968	-0.696157	1	1.93623	1.29117	1.48376e-08
-0.689902	-0.696157	1	1.92346	1.29974	1.48041e-08
-0.687823	-0.696157	1	1.91634	1.30457	7.50609e-09
-0.685735	-0.696157	1	1.91177	1.30769	0
-0.683643	-0.696157	1	1.90858	1.30988	0
-0.681547	-0.696157	1.00001	1.90622	1.3115	0
-0.679449	-0.696157	1.00001	1.9044	1.31276	0
-0.677349	-0.696157	1.00001	1.90295	1.31376	0
-0.675247	-0.696157	1.00001	1.90177	1.31458	0
-0.673143	-0.696157	1.00001	1.90079	1.31526	0
-0.671039	-0.696157	1.00001	1.89995	1.31584	0
-0.668934	-0.696157	1.00001	1.89924	1.31633	0
-0.666827	-0.696157	1.00001	1.89862	1.31676	0
-0.664721	-0.696156	1.00001	1.89807	1.31714	0
-0.662613	-0.696156	1.00001	1.8976	1.31747	0
-0.660505	-0.696156	1.00001	1.89717	1.31777	0
-0.658397	-0.696156	1.00001	1.89679	1.31804	0
-0.656288	-0.696156	1.00001	1.89644	1.31828	0
-0.654179	-0.696156	1.00002	1.89613	1.31849	0
-0.652069	-0.696156	1.00002	1.89585	1.31869	0
-0.649959	-0.696156	1.00002	1.89559	1.31887	0
-0.647849	-0.696156	1.00002	1.89535	1.31904	0
-0.645739	-0.696156	1.00002	1.89513	1.31919	0
-0.643628	-0.696156	1.00002	1.89493	1.31933	0
-0.641517	-0.696156	1.00002	1.89474	1.31947	0
-0.639406	-0.696156	1.00002	1.89457	1.31959	0
-0.637295	-0.696156	1.00002	1.89441	1.3197	0
-0.635183	-0.696156	1.00002	1.89426	1.31981	0
-0.633072	-0.696156	1.00002	1.89412	1.31991	0
-0.63096	-0.696156	1.00002	1.89398	1.32	0
-0.628848	-0.696156	1.00002	1.89386	1.32009	0
-0.626736	-0.696156	1.00003	1.89374	1.32017	0
-0.624624	-0.696155	1.00003	1.89363	1.32025	0
-0.622511	-0.696155	1.00003	1.89352	1.32032	0
-0.620399	-0.696155	1.00003	1.89343	1.32039	1.36425e-08
-0.618286	-0.696155	1.00003	1.89333	1.32046	0
-0.616174	-0.696155	1.00003	1.89324	1.32052	1.35806e-08
-0.614061	-0.696155	1.00003	1.89316	1.32058	0
-0.611948	-0.696155	1.00003	1.89308	1.32064	0
-0.609835	-0.696155	1.00003	1.893	1.3207	0
-0.607722	-0.696155	1.00003	1.89293	1.32075	0
-0.605609	-0.696155	1.00003	1.89286	1.3208	0
-0.603496	-0.696155	1.00003	1.89279	1.32085	0
-0.601382	-0.696154	1.00003	1.89273	1.32089	0
-0.599269	-0.696154	1.00004	1.89267	1.32093	0
-0.597156	-0.696154	1.00004	1.89261	1.32098	0
-0.595042	-0.696154	1.00004	1.89255	1.32102	0
-0.592929	-0.696154	1.00004	1.8925	1.32105	0
-0.590815	-0.696154	1.00004	1.89245	1.32109	0
-0.588701	-0.696154	1.00004	1.8924	1.32113	0
-0.586588	-0.696154	1.00004	1.89235	1.32116	0
-0.584474	-0.696153	1.00004	1.8923	1.3212	0
-0.58236	-0.696153	1.00004	1.89226	1.32123	0
-0.580246	-0.696153	1.00004	1.89222	1.32126	0
-0.578132	-0.696153	1.00004	1.89218	1.32129	0
-0.576018	-0.696153	1.00004	1.89214	1.32132	9.21182e-09
-0.573904	-0.696153	1.00005	1.8921	1.32134	0
-0.57179	-0.696153	1.00005	1.89206	1.32137	0
-0.569676	-0.696153	1.00005	1.89203	1.3214	0
-0.567562	-0.696152	1.00005	1.89199	1.32142	0
-0.565448	-0.696152	1.00005	1.89196	1.32145	0
-0.563333	-0.696152	1.00005	1.89193	1.32147	0
-0.561219	-0.696152	1.00005	1.89189	1.32149	0
-0.559105	-0.696152	1.00005	1.89186	1.32152	0
-0.556991	-0.696152	1.00005	1.89183	1.32154	0
-0.554876	-0.696152	1.00005	1.8918	1.32156	0
-0.552762	-0.696151	1.00005	1.89178	1.32158	0
-0.550647	-0.696151	1.00005	1.89175	1.3216	0
-0.548533	-0.696151	1.00006	1.89172	1.32162	0
-0.546419	-0.696151	1.00006	1.8917	1.32164	0
-0.544304	-0.696151	1.00006	1.89167	1.32166	0
-0.54219	-0.69615	1.00006	1.89165	1.32167	0
-0.540075	-0.69615	1.00006	1.89163	1.32169	0
-0.53796	-0.69615	1.00006	1.8916	1.32171	0
-0.535846	-0.69615	1.00006	1.89158	1.32173	0
-0.533731	-0.69615	1.00006	1.89156	1.32174	0
-0.531617	-0.69615	1.00006	1.89154	1.32176	0
-0.529502	-0.696149	1.00006	1.89152	1.32177	1.66659e-08
-0.527387	-0.696149	1.00006	1.8915	1.32179	0
-0.525272	-0.696149	1.00006	1.89148	1.3218	0
-0.523158	-0.696149	1.00007	1.89146	1.32182	0
-0.521043	-0.696149	1.00007	1.89144	1.32183	0
-0.518928	-0.696148	1.00007	1.89142	1.32184	0
-0.516813	-0.696148	1.00007	1.89141	1.32186	0
-0.514698	-0.696148	1.00007	1.89139	1.32187	0
-0.512584	-0.696148	1.00007	1.89137	1.32188	0
-0.510469	-0.696147	1.00007	1.89136	1.3219	0
-0.508354	-0.696147	1.00007	1.89134	1.32191	0
-0.506239	-0.696147	1.00007	1.89133	1.32192	0
-0.504124	-0.696147	1.00007	1.89131	1.32193	0
-0.502009	-0.696147	1.00007	1.8913	1.32194	0
-0.499894	-0.696146	1.00008	1.89128	1.32195	0
-0.497779	-0.696146	1.00008	1.89127	1.32197	0
-0.495664	-0.696146	1.00008	1.89125	1.32198	0
-0.493549	-0.696146	1.00008	1.89124	1.32199	0
-0.491434	-0.696145	1.00008	1.89123	1.322	0
-0.489319	-0.696145	1.00008	1.89121	1.32201	0
-0.487204	-0.696145	1.00008	1.8912	1.32202	0
-0.485089	-0.696145	1.00008	1.89119	1.32203	0
-0.482974	-0.696144	1.00008	1.89118	1.32204	0
-0.480859	-0.696144	1.00008	1.89117	1.32205	0
