X:	U:	P:	RO:	E:	Q:
-0.516303	-0.691383	1	4.29076	0.582648	0
-0.513353	-0.691383	1	4.28824	0.582991	0
-0.510402	-0.691383	1	4.28723	0.583128	0
-0.50745	-0.691383	1	4.28665	0.583207	0
-0.504497	-0.691383	1	4.28627	0.583259	0
-0.501545	-0.691383	1	4.286	0.583296	0
-0.498592	-0.691383	1	4.2858	0.583324	0
-0.495639	-0.691383	1	4.28564	0.583346	0
-0.492685	-0.691383	1	4.28551	0.583364	0
-0.489732	-0.691383	1.00001	4.2854	0.583379	0
-0.486779	-0.691383	1.00001	4.28531	0.583391	0
-0.483825	-0.691383	1.00001	4.28524	0.583402	0
-0.480872	-0.691383	1.00001	4.28517	0.583411	0
-0.477918	-0.691383	1.00001	4.28511	0.583419	0
-0.474965	-0.691383	1.00001	4.28507	0.583426	0
-0.472011	-0.691382	1.00001	4.28502	0.583432	6.15172e-09
-0.469058	-0.691382	1.00001	4.28498	0.583438	0
-0.466104	-0.691382	1.00001	4.28495	0.583443	7.12599e-09
-0.46315	-0.691382	1.00001	4.28492	0.583448	0
-0.460197	-0.691382	1.00001	4.28489	0.583452	0
-0.457243	-0.691382	1.00001	4.28486	0.583456	0
-0.454289	-0.691382	1.00001	4.28484	0.583459	0
-0.451336	-0.691382	1.00001	4.28482	0.583462	0
-0.448382	-0.691382	1.00001	4.2848	0.583466	0
-0.445428	-0.691382	1.00001	4.28478	0.583468	0
-0.442474	-0.691382	1.00001	4.28476	0.583471	0
-0.439521	-0.691382	1.00001	4.28475	0.583473	0
-0.436567	-0.691382	1.00001	4.28473	0.583476	0
-0.433613	-0.691382	1.00002	4.28472	0.583478	0
-0.430659	-0.691382	1.00002	4.28471	0.58348	0
-0.427705	-0.691381	1.00002	4.2847	0.583482	1.11288e-08
-0.424752	-0.691381	1.00002	4.28469	0.583483	0
-0.421798	-0.691381	1.00002	4.28468	0.583485	0
-0.418844	-0.691381	1.00002	4.28467	0.583487	0
-0.41589	-0.691381	1.00002	4.28466	0.583488	0
-0.412936	-0.691381	1.00002	4.28465	0.58349	0
-0.409982	-0.691381	1.00002	4.28464	0.583491	0
-0.407028	-0.691381	1.00002	4.28463	0.583492	0
-0.404075	-0.69138	1.00002	4.28463	0.583494	0
-0.401121	-0.69138	1.00002	4.28462	0.583495	1.96116e-08
-0.398167	-0.69138	1.00002	4.28462	0.583496	0
-0.395213	-0.69138	1.00002	4.28461	0.583497	0
-0.392259	-0.69138	1.00002	4.28461	0.583498	0
-0.389305	-0.69138	1.00003	4.2846	0.583499	0
-0.386351	-0.691379	1.00003	4.2846	0.5835	0
-0.383397	-0.691379	1.00003	4.28459	0.583501	0
-0.380444	-0.691379	1.00003	4.28459	0.583502	2.66471e-08
-0.37749	-0.691379	1.00003	4.28459	0.583503	0
-0.374536	-0.691379	1.00003	4.28458	0.583504	0
-0.371582	-0.691379	1.00003	4.28458	0.583505	0
-0.368628	-0.691378	1.00003	4.28458	0.583506	0
-0.365674	-0.691378	1.00003	4.28457	0.583506	0
-0.36272	-0.691378	1.00003	4.28457	0.583507	0
-0.359766	-0.691378	1.00003	4.28457	0.583508	0
-0.356812	-0.691378	1.00003	4.28457	0.583509	0
-0.353858	-0.691377	1.00003	4.28457	0.583509	0
-0.350904	-0.691377	1.00003	4.28456	0.58351	0
-0.347951	-0.691377	1.00004	4.28456	0.583511	0
-0.344997	-0.691376	1.00004	4.28456	0.583511	0
-0.342043	-0.691376	1.00004	4.28456	0.583512	0
-0.339089	-0.691376	1.00004	4.28456	0.583513	0
-0.336135	-0.691376	1.00004	4.28456	0.583513	0
-0.333181	-0.691376	1.00004	4.28456	0.583514	0
-0.330227	-0.691375	1.00004	4.28456	0.583515	0
-0.327273	-0.691375	1.00004	4.28456	0.583515	0
-0.324319	-0.691374	1.00004	4.28456	0.583516	0
-0.321365	-0.691374	1.00004	4.28456	0.583516	4.95674e-08
-0.318411	-0.691374	1.00005	4.28456	0.583517	0
-0.315457	-0.691373	1.00005	4.28456	0.583518	0
-0.312503	-0.691373	1.00005	4.28456	0.583518	0
-0.30955	-0.691373	1.00005	4.28456	0.583519	0
-0.306596	-0.691372	1.00005	4.28456	0.583519	0
-0.303642	-0.691372	1.00005	4.28456	0.58352	0
-0.300688	-0.691371	1.00005	4.28457	0.58352	0
-0.297734	-0.691371	1.00005	4.28457	0.583521	7.71936e-08
-0.29478	-0.691371	1.00005	4.28457	0.583521	0
-0.291826	-0.69137	1.00006	4.28457	0.583522	0
-0.288872	-0.691369	1.00006	4.28457	0.583523	0
-0.285918	-0.691369	1.00006	4.28458	0.583523	0
-0.282964	-0.691368	1.00006	4.28458	0.583524	0
-0.28001	-0.691368	1.00006	4.28458	0.583524	0
-0.277056	-0.691368	1.00006	4.28458	0.583525	0
-0.274103	-0.691366	1.00007	4.28459	0.583525	0
-0.271149	-0.691366	1.00007	4.28459	0.583526	0
-0.268195	-0.691366	1.00007	4.28459	0.583526	0
-0.265241	-0.691364	1.00007	4.2846	0.583527	0
-0.262287	-0.691364	1.00007	4.2846	0.583527	0
-0.259333	-0.691364	1.00008	4.28461	0.583528	0
-0.256379	-0.691362	1.00008	4.28461	0.583529	0
-0.253425	-0.691362	1.00008	4.28461	0.583529	0
-0.250471	-0.691361	1.00008	4.28462	0.58353	0
-0.247518	-0.69136	1.00008	4.28463	0.583531	0
-0.244564	-0.69136	1.00008	4.28463	0.583531	0
-0.24161	-0.691359	1.00009	4.28464	0.583532	0
-0.238656	-0.691357	1.00009	4.28464	0.583532	0
-0.235702	-0.691357	1.00009	4.28464	0.583533	0
-0.232748	-0.691356	1.0001	4.28465	0.583533	0
-0.229794	-0.691353	1.0001	4.28466	0.583534	0
-0.226841	-0.691352	1.00009	4.28465	0.583534	0
-0.223887	-0.69135	1.0001	4.28465	0.583534	0
-0.220933	-0.691344	1.00009	4.28464	0.583534	0
-0.217979	-0.691339	1.00008	4.2846	0.583532	0
-0.215025	-0.691332	1.00006	4.28454	0.583529	0
-0.212071	-0.691319	1.00004	4.28446	0.583525	0
-0.209117	-0.6913	0.99999	4.28432	0.583517	0
-0.206163	-0.691275	0.999917	4.28409	0.583505	0
-0.203209	-0.691239	0.999809	4.28376	0.583488	0
-0.200254	-0.691189	0.999655	4.28329	0.583462	0
-0.1973	-0.69112	0.999441	4.28263	0.583426	0
-0.194344	-0.691024	0.999141	4.28172	0.583377	0
-0.191388	-0.690888	0.998699	4.28036	0.583303	0
-0.188432	-0.690676	0.997973	4.27814	0.583182	0
-0.185473	-0.690304	0.996696	4.27423	0.582969	0
-0.182512	-0.689651	0.994587	4.26776	0.582616	0
-0.179547	-0.68864	0.991631	4.2587	0.582121	0
-0.176575	-0.687333	0.988054	4.24772	0.58152	0
-0.173595	-0.685794	0.983831	4.23474	0.580809	0
-0.170607	-0.683957	0.978882	4.21952	0.579973	0
-0.167607	-0.681898	0.973625	4.20332	0.579082	0
-0.164596	-0.679771	0.968133	4.18637	0.578147	0
-0.161573	-0.677516	0.962381	4.16858	0.577163	0
-0.158537	-0.675249	0.956687	4.15095	0.576185	0
-0.155488	-0.672968	0.950789	4.13265	0.575168	0
